"","V1","V1.6","V1.5","V1.4","V1.3","deploymentID","V1.2","speciesName","project","subproject","treatment","deploymentName","idType","sequenceID","beginTime","endTime","commonName","age","sex","individuallyIDentifiable","count","fuzzed","begin","end","beginDate","endDate","julianDay","year","month","quarter","actualDateOut","retrievalDate","plotName","plotTreatment","cameraFailureDetails","deploymentNotes","baitType","baitDescription","baitStatus","trails","feature","featureTypeMethodology","detectionDistance","trapNights","tdiff","dayOfDeployment","Binom","AmericanBeaverBinom","AmericanBlackBearBinom","AmericanMinkBinom","AmericanRedSquirrelBinom","AppalachianCottontailBinom","BobcatBinom","CoyoteBinom","DomesticCatBinom","DomesticDogBinom","EasternChipmunkBinom","EasternCottontailBinom","EasternFoxSquirrelBinom","EasternGraySquirrelBinom","EasternSpottedSkunkBinom","EasternWoodratBinom","ElkAkaRedDeerBinom","GreyFoxBinom","LongTailedWeaselBinom","MarshRabbitBinom","NineBandedArmadilloBinom","NorthAmericanOtterBinom","NorthernBobwhiteBinom","NorthernRaccoonBinom","RedFoxBinom","RedWolfBinom","RuffedGrouseBinom","SouthernFlyingSquirrelBinom","StripedSkunkBinom","SwampRabbitBinom","UnknownCanidBinom","UnknownFelidBinom","UnknownFlyingSquirrelBinom","UnknownRabbitHareBinom","UnknownSmallRodentBinom","UnknownSquirrelBinom","VirginiaOpossumBinom","WhiteTailedDeerBinom","WildBoarBinom","WildTurkeyBinom","WoodchuckBinom","V1.1","AmericanBeaver","AmericanBlackBear","AmericanMink","AmericanRedSquirrel","AppalachianCottontail","Bobcat","Coyote","DomesticCat","DomesticDog","EasternChipmunk","EasternCottontail","EasternFoxSquirrel","EasternGraySquirrel","EasternSpottedSkunk","EasternWoodrat","ElkAkaRedDeer","GreyFox","LongTailedWeasel","MarshRabbit","NineBandedArmadillo","NorthAmericanOtter","NorthernBobwhite","NorthernRaccoon","RedFox","RedWolf","RuffedGrouse","SouthernFlyingSquirrel","StripedSkunk","SwampRabbit","UnknownCanid","UnknownFelid","UnknownFlyingSquirrel","UnknownRabbitHare","UnknownSmallRodent","UnknownSquirrel","VirginiaOpossum","WhiteTailedDeer","WildBoar","WildTurkey","Woodchuck","avgPrecip","avgTemp","avgCloud","avgEVI","building100","building200","building300","building400","building500","building600","building700","building800","building900","building1000","distToBuilding","distToStream","streamLength1km","streamLength5km","distToRoad","actualLon","actualLat"
"1960",1960,1960,1960,1960,1960,"d39213",1960,"Sciurus carolinensis","North Carolina's Candid Critters Project","Chatham County","woods","McNaughton_K_Chatham8","Researcher","d39213s1","08:07:20","08:07:21","Eastern Gray Squirrel","Unknown","Unknown","N",1,FALSE,"2018-04-25 08:07:20","2018-04-25 08:07:21","2018-04-25","2018-04-25",115,2018,4,2,"2018-04-25","2018-05-21","Small Forest","woods","NULL","hardwoods near creek LC location  oak tassell over lens, last few images.","No Bait","NULL","no bait","no trails","Not Entered","",15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.0702260031276e-05,293.383893151547,32.5177942324519,0.367368994234715,1,2,4,9,13,21,26,38,44,52,54.208575278347,277.888827041776,2163.48289765709,544.354711175175,154.743976760434,-79.1895784035482,35.7705441350449
"1961",1961,1961,1961,1961,1961,"d39214",1961,"Canis familiaris","North Carolina's Candid Critters Project","Duplin County","woods","Benton_B_Duplin16","Researcher","d39214s8","16:38:36","16:38:40","Domestic Dog","Unknown","Unknown","N",1,FALSE,"2018-05-16 20:38:52","2018-04-27 16:38:40","2018-04-27","2018-04-27",117,2018,4,2,"2018-04-24","2018-05-18","Small Forest","woods","NULL","Summer deployment (put out early) April 22 through May 18, 2018","No Bait","NULL","no bait","no trails","Not Entered","",14.326,24,4683,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,2.8727432814175e-05,292.25190122363,39.3993743397082,0.443910932656772,0,0,0,0,1,8,19,28,29,31,487.466388256756,136.863135414624,482.72708162585,4555.34014997061,560.753259998503,-78.1688438634073,34.8064340157003
"1962",1962,1962,1962,1962,1962,"d39216",1962,"Lynx rufus","North Carolina's Candid Critters Project","Craven County","woods","Jones_V_Craven6","Researcher","d39216s12","00:12:53","00:13:03","Bobcat","Unknown","Unknown","N",1,FALSE,"2018-04-02 06:46:20","2018-04-06 00:13:03","2018-04-06","2018-04-06",96,2018,4,2,"2018-04-01","2018-04-22","Small Forest","woods","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",14,21,46534,5,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2.73060971660916e-05,292.41966749609,33.2517528142957,0.411710451733772,0,0,0,0,1,8,23,44,65,75,485.453832706954,1065.69137279057,0,81.4205052959883,386.090049354859,-76.9836787192654,35.2557342669297
"1963",1963,1963,1963,1963,1963,"d39218",1963,"Ursus americanus","North Carolina's Candid Critters Project","Macon County","woods","Love_J_Macon42","Researcher","d39218s35","23:23:12","23:26:04","American Black Bear","Unknown","Unknown","N",1,FALSE,"2018-04-16 23:29:26","2018-04-20 23:26:04","2018-04-20","2018-04-20",110,2018,4,2,"2018-03-30","2018-04-22","Large Forest","woods","NULL","Timestamp is Eastern Standard Time (EST). Camera located adjacent to old logging road near Coldpsring Gap.  Overstory includes Quercus alba, Quercus rubra, Carya spp., and Acer saccharum.  Woods are fairly open and rich.","No Bait","NULL","no bait","no trails","Not Entered","",13.9,23,12683,21,0,0,1,0,0,0,2,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.05015843619618e-05,293.325281133381,30.0737414562484,0.392777835917142,0,0,0,0,0,0,0,0,0,0,1212.8087308592,702.766276449773,24.9539807371707,746.251265746526,768.405639474808,-83.4553195207941,35.0165430625383
"1964",1964,1964,1964,1964,1964,"d39219",1964,"Lynx rufus","North Carolina's Candid Critters Project","Macon County","woods","Love_J_Macon43","Researcher","d39219s15","02:23:29","02:24:10","Bobcat","Unknown","Unknown","N",1,FALSE,"2018-03-31 20:09:55","2018-04-04 02:24:10","2018-04-04","2018-04-04",94,2018,4,2,"2018-03-30","2018-04-22","Large Forest","woods","NULL","Timestamp is Eastern Standard Time (EST). Camera placed in rich cove below Rich Knob in the Dryman Fork watershed.  Camera placed in an area with active Feral Hog sign.  Overstory includes Prunus serotina, Carya spp., Quercus rubra, Quercus alba, and Liriodendron tulipifera.  Woods are fairly open at this location, with little to know evergreen shrubs such as Kalmia latifolia and Rhododendron maximum.","No Bait","NULL","no bait","no trails","Not Entered","",11.1,23,47208,5,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,1.87156745246414e-05,291.676718435901,29.643560258609,0.393280681574784,0,0,0,0,0,0,0,0,0,0,1299.18013703006,417.202913542652,182.822151943194,746.251265746526,140.874580514916,-83.4380714084747,35.0200839625856
"1965",1965,1965,1965,1965,1965,"d39223",1965,"Camera Trapper","North Carolina's Candid Critters Project","Macon County","woods","Love_J_Macon44","Researcher","d39223s1","14:09:48","14:10:19","Camera Trapper","Adult","Male","N",1,FALSE,"2018-03-30 14:09:48","2018-03-30 14:10:19","2018-03-30","2018-03-30",89,2018,3,1,"2018-03-30","2018-04-22","Large Forest","woods","NULL","Timestamp is Eastern Standard Time (EST). Camera placed on spur ridge downhill of Doubletop Mountain.  Overstory includes Oxydendrum arboreum, Nyssa sylvatica, Quercus coccinea, and Amelanchier arborea.  There is also a dense shrub layer of Kalmia latifolia and Rhododendron maximum.","No Bait","NULL","no bait","no trails","Not Entered","",9.8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.11266006075068e-05,294.370392331553,24.0439419031297,0.40908325399218,0,0,0,0,0,0,0,0,0,0,1514.67871911043,749.307066200076,2163.84328894035,746.251265746526,88.6805227139485,-83.4365218854388,35.0237138724057
"1966",1966,1966,1966,1966,1966,"d39225",1966,"Canis latrans","North Carolina's Candid Critters Project","Cabarrus County","woods","Fulton_S_Cabarrus1","Researcher","d39225s7","23:22:10","23:22:12","Coyote","Unknown","Unknown","N",1,FALSE,"2018-04-07 23:19:07","2018-04-07 23:22:12","2018-04-07","2018-04-07",97,2018,4,2,"2018-03-31","2018-04-10","Small Forest","woods","NULL","Stealth Camera 645N6 Pro 14 MP","No Bait","NULL","no bait","no trails","Not Entered","",5,10,226413,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1.03754984993242e-05,291.543704115926,32.9045251948777,0.375409301465631,0,3,10,15,22,30,34,43,49,58,173.159103974884,533.704750485693,1782.82793886535,3274.96327192198,295.959029136136,-80.3579002374172,35.4486009802226
"1967",1967,1967,1967,1967,1967,"d39227",1967,"Cyanocitta cristata","North Carolina's Candid Critters Project","Nash County","Open Area","Weeks_H_Nash3","Researcher","d39227s30","14:30:44","14:30:45","Blue Jay","Unknown","Unknown","N",1,FALSE,"2018-05-08 20:53:07","2018-05-13 14:30:45","2018-05-13","2018-05-13",133,2018,5,2,"2018-04-21","2018-05-13","Open","Open Area","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",20,22,172188,22,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,3.57099809548227e-05,290.467960405105,40.294951197929,0.408752456280739,0,0,2,2,3,3,4,20,28,39,277.459595197949,170.632857255333,2192.28794934638,1997.66615024012,453.221271661486,-77.937590888241,36.0908954205449
"1968",1968,1968,1968,1968,1968,"d39229",1968,"Camera Trapper","North Carolina's Candid Critters Project","Pender County","Open Area","Burns_J_Pender15","Researcher","d39229s3","15:03:51","15:03:55","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-08 14:12:57","2018-04-22 15:03:55","2018-04-22","2018-04-22",112,2018,4,2,"2018-04-08","2018-04-22","Large Forest","Open Area","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",9.1,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43230717029569e-05,290.123341889622,36.4729904975726,0.368037892370927,0,0,0,0,0,0,0,0,0,0,2359.45824365526,2340.28267022429,0,1418.614198514,189.358016560384,-77.6991552604633,34.4470706774674
"1969",1969,1969,1969,1969,1969,"d39230",1969,"Camera Trapper","North Carolina's Candid Critters Project","Pender County","Open Area","Burns_H_Pender7","Researcher","d39230s1","12:31:05","12:31:15","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-08 12:31:05","2018-04-08 12:31:15","2018-04-08","2018-04-08",98,2018,4,2,"2018-04-08","2018-04-22","Large Forest","Open Area","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",9.1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74533945874299e-05,291.58815721935,25.9577658985248,0.367210262707513,0,0,0,0,0,0,0,0,0,0,1906.36077229541,2027.08476366426,0,1418.614198514,299.290797656164,-77.6966551045793,34.4434609994495
"1970",1970,1970,1970,1970,1970,"d39231",1970,"Camera Trapper","North Carolina's Candid Critters Project","New Hanover County","Woods","Facendola_J_NewHanover4","Researcher","d39231s1","09:38:02","09:38:02","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-28 09:38:02","2018-04-28 09:38:02","2018-04-28","2018-04-28",118,2018,4,2,"2018-04-28","2018-05-20","Large Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,1,5,0,0,0,2.35510753756992e-05,292.351153729983,34.3110588264063,0.359020298834619,0,0,0,0,0,0,0,2,3,4,763.82106478729,150.677760306847,53.5577864990135,215.336725742388,824.379456432968,-77.9823660607417,34.2627102308074
"1971",1971,1971,1971,1971,1971,"d39232",1971,"Camera Trapper","North Carolina's Candid Critters Project","Transylvania County","Woods","Hagarty_J_Transylvania3","Researcher","d39232s19","09:04:20","09:04:55","Camera Trapper","Adult","Male","N",1,FALSE,"2018-06-11 09:04:20","2018-06-11 09:04:55","2018-06-11","2018-06-11",162,2018,6,2,"2018-05-23","2018-06-11","Large Forest","Woods","NULL","30 TALA COURT, CONNESTEE FALLS, (BREVARD) NC 28712","No Bait","NULL","no bait","no trails","Not Entered","",7,19,75035,19,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7.9394579874622e-06,292.842036111838,25.6328463294753,0.406591200947364,1,9,17,33,51,86,108,138,171,202,25.8956074999652,117.599262298324,4.14789211312198,1322.98904973567,32.4026036725056,-82.7186267025504,35.1359634937082
"1972",1972,1972,1972,1972,1972,"d39235",1972,"Camera Trapper","North Carolina's Candid Critters Project","Gaston County","","CrowdersMtnSP_Forest_34","Researcher","d39235s1","13:40:30","13:40:40","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-05-04 13:40:30","2018-05-04 13:40:40","2018-05-04","2018-05-04",124,2018,5,2,"2018-05-04","2018-05-27","Large Forest","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",8.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.27015549668746e-05,292.685170872514,27.4777888315481,0.362247547451286,0,0,0,1,2,2,4,6,8,16,389.526072981208,1182.7400244662,0,2213.57302698163,654.289625678213,-81.2776006340681,35.2234015777094
"1973",1973,1973,1973,1973,1973,"d39236",1973,"Camera Trapper","North Carolina's Candid Critters Project","Stokes County","Open","HangingRockSP_Open_5","Researcher","d39236s1","12:52:31","12:52:37","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-05-14 16:19:08","2018-05-07 12:52:37","2018-05-07","2018-05-07",127,2018,5,2,"2018-05-07","2018-05-21","Large Forest","Open","NULL","Vade Mecum field west of gate, north side of field","No Bait","NULL","no bait","no trails","Not Entered","",10,14,5951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.29804485293171e-05,292.817287983401,23.6936009059623,0.436857643330215,1,3,10,14,15,15,18,30,37,52,93.9840310090262,279.510588920459,2215.79971783882,47.995400680566,39.2001421912837,-80.3156104663984,36.4104506726851
"1974",1974,1974,1974,1974,1974,"d39237",1974,"Bicycle","North Carolina's Candid Critters Project","Transylvania County","Open","PisgahNF_Trail_375","Researcher","d39237s2","16:35:31","16:35:35","Bicycle","Unknown","Unknown","N",2,FALSE,"2018-05-07 13:51:08","2018-04-25 16:35:35","2018-04-25","2018-04-25",115,2018,4,2,"2018-04-25","2018-05-16","On Trail","Open","NULL","NULL","No Bait","NULL","no bait","trails","Not Entered","",16,21,83397,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86289476336863e-05,291.736145338128,18.8943874385162,0.407377718205571,0,0,0,0,0,0,0,0,0,0,4078.63153185481,531.113838873836,2078.06478230486,1632.5958950436,414.896892441948,-82.8254840248007,35.3141577550328
"1975",1975,1975,1975,1975,1975,"d39297",1975,"Camera Trapper","North Carolina's Candid Critters Project","Henderson County","Woods","GreenRiverGL_Forest_102_REAL","Researcher","d39297s1","18:41:07","18:41:10","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-01 18:41:07","2018-04-01 18:41:10","2018-04-01","2018-04-01",91,2018,4,2,"2018-04-01","2018-04-22","Large Forest","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",9,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.70952983568958e-05,291.557022997683,34.4343004930917,0.409745869275703,0,0,0,0,0,1,9,23,43,76,513.128937920485,27.5156663025289,286.088831892436,204.376219319686,488.920366007924,-82.3957966192033,35.2558880811027
"1976",1976,1976,1976,1976,1976,"d39298",1976,"Ursus americanus","North Carolina's Candid Critters Project","Bladen County","","SORIGT","Researcher","d39298s19","22:05:27","22:05:30","American Black Bear","Unknown","Unknown","N",1,FALSE,"2018-05-01 07:26:36","2018-05-09 22:05:30","2018-05-09","2018-05-09",129,2018,5,2,"2018-04-26","2018-05-18","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",14,22,96415,13,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,4.09942617509778e-05,291.059686503202,31.3140094303785,0.365938141358936,0,5,10,13,23,37,43,48,49,54,166.581116117799,217.494441858235,82.7397463951956,1446.41716158042,213.441203914817,-78.3587262379401,34.6735073400108
"1977",1977,1977,1977,1977,1977,"d39299",1977,"Lynx rufus","North Carolina's Candid Critters Project","Bladen County","","SORIRD","Researcher","d39299s24","09:09:18","09:09:21","Bobcat","Unknown","Unknown","N",1,FALSE,"2018-05-03 03:27:42","2018-05-08 09:09:21","2018-05-08","2018-05-08",128,2018,5,2,"2018-04-26","2018-05-18","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",14,22,191526,12,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5.20461811230746e-05,291.497643905288,31.9071020248017,0.365825457664353,0,0,2,9,17,26,44,49,52,53,270.559588552117,187.358450144861,82.7397463951956,1446.41716158042,268.391236767078,-78.3537465218684,34.6724277152554
"1978",1978,1978,1978,1978,1978,"d39300",1978,"Camera Trapper","North Carolina's Candid Critters Project","Bladen County","","SORIRI","Researcher","d39300s1","15:55:33","15:55:42","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-26 15:55:33","2018-04-26 15:55:42","2018-04-26","2018-04-26",116,2018,4,2,"2018-04-26","2018-05-18","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",12,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3.60494769899723e-05,290.848095214137,30.0564723218124,0.362605713304473,0,3,12,22,28,33,35,40,52,57,154.115265437261,92.3723183377769,82.7397463951956,1446.41716158042,129.819922713263,-78.3504270406588,34.6751278141063
"1979",1979,1979,1979,1979,1979,"d39334",1979,"Corvus brachyrhynchos","North Carolina's Candid Critters Project","Transylvania County","","Hagarty_J_Transylvania4","Researcher","d39334s7","10:32:09","10:32:13","American Crow","Unknown","Unknown","N",1,FALSE,"2018-05-13 07:57:20","2018-04-28 10:32:13","2018-04-28","2018-04-28",118,2018,4,2,"2018-04-24","2018-05-15","Small Forest","","NULL","un aware that dogs roamed this area prior to placing camera","No Bait","NULL","no bait","no trails","Not Entered","",30,21,62530,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,1.47895057482308e-05,290.428741588868,27.1466628529108,0.427191513836951,2,9,32,55,88,129,179,235,306,365,64.4515768670049,438.961958494999,463.018089820734,197.187769993983,8.48414016189092,-82.7301172079138,35.1521719489071
"1980",1980,1980,1980,1980,1980,"d39336",1980,"Camera Trapper","North Carolina's Candid Critters Project","Orange County","","Cook_D_Orange13","Researcher","d39336s1","14:57:13","14:57:15","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-04 14:57:13","2018-04-04 14:57:15","2018-04-04","2018-04-04",94,2018,4,2,"2018-04-04","2018-04-25","Small Forest","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",12,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9.24200243046271e-05,292.840305789466,27.1179602279836,0.39846037510923,0,0,0,0,0,0,0,0,0,2,986.128205531323,267.950204317362,832.945231774946,173.372023567369,1142.06531529109,-79.0162948442189,36.0889621544758
"1981",1981,1981,1981,1981,1981,"d39337",1981,"Camera Trapper","North Carolina's Candid Critters Project","Orange County","","Cook_D_Orange14","Researcher","d39337s1","09:35:21","09:35:26","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-25 09:35:21","2018-04-25 09:35:26","2018-04-25","2018-04-25",115,2018,4,2,"2018-04-25","2018-05-16","Small Forest","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",14.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,3.94591316432713e-05,290.770981686908,22.0014028857642,0.359853550389934,0,0,0,1,1,2,4,8,13,17,388.74369627093,151.408172298068,474.979815529595,173.372023567369,290.520309331561,-79.0104443341877,36.0793829561602
"1982",1982,1982,1982,1982,1982,"d39338",1982,"Camera Trapper","North Carolina's Candid Critters Project","Henderson County","","Newman_S_Henderson3","Researcher","d39338s1","15:35:24","15:37:43","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-04-13 15:35:24","2018-04-13 15:37:43","2018-04-13","2018-04-13",103,2018,4,2,"2018-04-13","2018-05-06","Small Forest","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",25,23,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,5.20365323841946e-05,292.348203836441,33.4431839334716,0.368381824061679,16,46,78,120,204,280,362,451,595,740,1.28724246575382,117.663554230307,1389.35604294521,2550.89566701321,27.6096573133139,-82.4836847080991,35.3173994141623
"1983",1983,1983,1983,1983,1983,"d39354",1983,"Camera Trapper","North Carolina's Candid Critters Project","Alleghany County","","Burns_M_Alleghany1","Researcher","d39354s1","17:13:08","17:13:14","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2018-03-11 17:13:08","2018-03-11 17:13:14","2018-03-11","2018-03-11",70,2018,3,1,"2018-03-11","2018-03-31","Yard","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",7.01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78799656911307e-05,293.008779469316,27.9596854327871,0.406061475840053,0,0,0,0,1,6,8,18,31,47,431.632383974454,273.683523406949,120.437565234233,2702.03669132502,544.808856320676,-81.2254634858775,36.5167449897583
